Vertice, peso (V), Aresta, peso (A)
brejo, (2), formato, (1) 
souzaalencar, (2), garcia, (1) 
enfim, (2), concilia, (1) 
cientifica, (2), recente, (1) 
saber, (2), parte, (1) 
silva, (2), souzaalencar, (1) 
tradicional, (4), formacao, (1) 
tradicional, (4), respeito, (1) 
parte, (2), valorizacao, (1) 
bioma, (2), alexandro, (1) 
construtivo, (2), autossustentavel, (1) 
exploratoria, (2), revisao, (1) 
oriundo, (2), populacao, (1) 
valorizacao, (2), povo, (1) 
yomomo, (4), aldeia, (1) 
yomomo, (4), ahy, (1) 
autossustentavel, (2), povo, (1) 
analise, (2), cienciometrica, (1) 
bioeconomia, (2), economia, (1) 
estudo, (4), pesquisa, (1) 
estudo, (4), hanaiti, (1) 
indigena, (12), nioaque, (2) 
indigena, (12), aldeia, (1) 
indigena, (12), yomomo, (1) 
indigena, (12), tono, (1) 
indigena, (12), bioma, (1) 
excelencia, (2), importancia, (1) 
etno, (2), desenvolvimento, (1) 
area, (2), prioritaria, (1) 
terena, (4), tematica, (1) 
terena, (4), pratica, (1) 
aldeia, (8), brejo, (1) 
aldeia, (8), brejao, (2) 
aldeia, (8), analise, (1) 
capacitacao, (2), junto, (1) 
agroextrativista, (2), aldeia, (1) 
aplicacao, (2), questionario, (1) 
palestra, (2), oficina, (1) 
desenvolvimento, (8), objetivo, (1) 
desenvolvimento, (8), comunidade, (1) 
desenvolvimento, (8), preservacao, (1) 
desenvolvimento, (8), indigena, (1) 
garcia, (2), bacarji, (1) 
nioaque, (4), m, (2) 
atividade, (2), etnodesenvolvimento, (1) 
publicacao, (2), excelencia, (1) 
etnia, (2), terena, (1) 
junto, (2), comunidade, (1) 
ahy, (2), aldeia, (1) 
tematica, (2), pesquisa, (1) 
associacao, (2), indigena, (1) 
humanizadora, (2), equipe, (1) 
cienciometria, (2), bioeconomia, (1) 
biodiversidade, (2), enfim, (1) 
universidade, (2), objeto, (1) 
questionario, (2), oriundo, (1) 
oferecimento, (2), minicurso, (1) 
importancia, (2), universidade-comunidade, (1) 
interlocucao, (2), universidade, (1) 
prioritaria, (2), oferecimento, (1) 
universidade-comunidade, (2), troca, (1) 
formato, (2), etno, (1) 
objeto, (2), estudo, (1) 
sustentavel, (6), resultado, (1) 
sustentavel, (6), associacao, (1) 
sustentavel, (6), estudo, (1) 
tono, (2), necessidade, (1) 
povo, (6), terena, (1) 
povo, (6), comunidade, (1) 
povo, (6), indigena, (1) 
literatura, (2), aplicacao, (1) 
objetivo, (2), pesquisa, (1) 
brejao, (4), indigena, (2) 
oficina, (2), minicurso, (1) 
formacao, (2), humanizadora, (1) 
especificamente, (2), etnia, (1) 
troca, (2), saber, (1) 
disponivel, (2), publicacao, (1) 
comunidade, (6), tradicional, (2) 
comunidade, (6), acao, (1) 
socioambiental, (2), cienciometria, (1) 
respeito, (2), territorio, (1) 
concilia, (2), desenvolvimento, (1) 
necessidade, (2), desenvolvimento, (1) 
resultado, (2), interlocucao, (1) 
alexandro, (2), silva, (1) 
cienciometrica, (2), etnodesenvolvimento, (1) 
minicurso, (4), pesquisa, (1) 
minicurso, (4), capacitacao, (1) 
recente, (2), disponivel, (1) 
etnodesenvolvimento, (9), sustentavel, (3) 
etnodesenvolvimento, (9), povo, (1) 
etnodesenvolvimento, (9), construtivo, (1) 
revisao, (2), literatura, (1) 
populacao, (2), pesquisa, (1) 
m, (4), especificamente, (1) 
m, (4), etnodesenvolvimento, (1) 
extensionista, (2), palestra, (1) 
pesquisa, (10), exploratoria, (1) 
pesquisa, (10), materializacao, (1) 
pesquisa, (10), cientifica, (1) 
pesquisa, (10), etnodesenvolvimento, (1) 
pesquisa, (10), sequencialmente, (1) 
materializacao, (2), atividade, (1) 
territorio, (2), biodiversidade, (1) 
economia, (2), indigena, (1) 
preservacao, (4), desenvolvimento, (1) 
preservacao, (4), socioambiental, (1) 
hanaiti, (2), yomomo, (1) 
pratica, (2), agroextrativista, (1) 
sequencialmente, (2), area, (1) 
acao, (2), extensionista, (1) 
equipe, (2), preservacao, (1) 
